Gene ID	source_id	Organism	Product Description	Gene Name or Symbol	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes
NCU00081	NCU00081-t26_1	Neurospora crassa OR74A	DNA topoisomerase 3-beta	dnt-3	GO:0005634	nucleus	GO:0003916	DNA topoisomerase activity	GO:0006265	DNA topological change	GO:0005634	nucleus	GO:0003677;GO:0003916;GO:0003917	DNA binding;DNA topoisomerase activity;DNA topoisomerase type I (single strand cut, ATP-independent) activity	GO:0006265	DNA topological change
NCU00082	NCU00082-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00083	NCU00083-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0005634	nucleus	GO:0043565	sequence-specific DNA binding	GO:0034599;GO:0000432	cellular response to oxidative stress;positive regulation of transcription from RNA polymerase II promoter by glucose	N/A	N/A	N/A	N/A	N/A	N/A
NCU00084	NCU00084-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00085	NCU00085-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00086	NCU00086-t26_1	Neurospora crassa OR74A	glycosyl hydrolase	gh76-8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0003824;GO:0016787	catalytic activity;hydrolase activity	GO:0000272	polysaccharide catabolic process
NCU00087	NCU00087-t26_1	Neurospora crassa OR74A	6-phosphogluconolactonase	ppm-1	GO:0005737;GO:0005829	cytoplasm;cytosol	GO:0017057	6-phosphogluconolactonase activity	GO:0009051;GO:0006409	pentose-phosphate shunt, oxidative branch;tRNA export from nucleus	N/A	N/A	GO:0017057	6-phosphogluconolactonase activity	GO:0005975;GO:0006098;GO:0008033	carbohydrate metabolic process;pentose-phosphate shunt;tRNA processing
NCU00088	NCU00088-t26_1	Neurospora crassa OR74A	nitrophenylphosphatase-1	npp-1	GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0004035;GO:0016791;GO:0008967;GO:0004721	alkaline phosphatase activity;phosphatase activity;phosphoglycolate phosphatase activity;phosphoprotein phosphatase activity	GO:0034599;GO:0016311;GO:0016576;GO:0006470;GO:0006417	cellular response to oxidative stress;dephosphorylation;histone dephosphorylation;protein dephosphorylation;regulation of translation	GO:0005737	cytoplasm	GO:0016791	phosphatase activity	GO:0006796;GO:0046838;GO:0019748	phosphate-containing compound metabolic process;phosphorylated carbohydrate dephosphorylation;secondary metabolic process
NCU00089	NCU00089-t26_1	Neurospora crassa OR74A	MYND domain-containing protein, MYND domain-containing protein, variant 2, MYND domain-containing protein, variant 1, MYND domain-containing protein, variant 3	N/A	GO:0005634	nucleus	GO:0018024	histone-lysine N-methyltransferase activity	GO:0034968	histone lysine methylation	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU00089	NCU00089-t26_2	Neurospora crassa OR74A	MYND domain-containing protein, MYND domain-containing protein, variant 2, MYND domain-containing protein, variant 1, MYND domain-containing protein, variant 3	N/A	GO:0005634	nucleus	GO:0018024	histone-lysine N-methyltransferase activity	GO:0034968	histone lysine methylation	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU00089	NCU00089-t26_3	Neurospora crassa OR74A	MYND domain-containing protein, MYND domain-containing protein, variant 2, MYND domain-containing protein, variant 1, MYND domain-containing protein, variant 3	N/A	GO:0005634	nucleus	GO:0018024	histone-lysine N-methyltransferase activity	GO:0034968	histone lysine methylation	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU00089	NCU00089-t26_4	Neurospora crassa OR74A	MYND domain-containing protein, MYND domain-containing protein, variant 2, MYND domain-containing protein, variant 1, MYND domain-containing protein, variant 3	N/A	GO:0005634	nucleus	GO:0018024	histone-lysine N-methyltransferase activity	GO:0034968	histone lysine methylation	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU00090	NCU00090-t26_1	Neurospora crassa OR74A	pH-response transcription factor pacC/RIM101	pacc-1	GO:0005634	nucleus	N/A	N/A	GO:0045944;GO:0040009;GO:0010446	positive regulation of transcription by RNA polymerase II;regulation of growth rate;response to alkaline pH	GO:0005737	cytoplasm	GO:0003677;GO:0046872	DNA binding;metal ion binding	GO:0006355;GO:0009268	regulation of transcription, DNA-templated;response to pH
NCU00091	NCU00091-t26_1	Neurospora crassa OR74A	hypothetical protein, hypothetical protein, variant 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU00091	NCU00091-t26_2	Neurospora crassa OR74A	hypothetical protein, hypothetical protein, variant 1	N/A	GO:0005737	cytoplasm	N/A	N/A	GO:0034198;GO:0032008	cellular response to amino acid starvation;positive regulation of TOR signaling	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU00092	NCU00092-t26_1	Neurospora crassa OR74A	rRNA-processing protein efg-1	rrm-3	GO:0005730;GO:0030688	nucleolus;preribosome, small subunit precursor	N/A	N/A	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	N/A	N/A	N/A	N/A	GO:0006364	rRNA processing
NCU00093	NCU00093-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00095	NCU00095-t26_1	Neurospora crassa OR74A	tetratricopeptide repeat protein 1	rpo-1	GO:0016593	Cdc73/Paf1 complex	GO:0000993	RNA polymerase II complex binding	GO:0051569;GO:0006355	regulation of histone H3-K4 methylation;regulation of transcription, DNA-templated	N/A	N/A	GO:0005515	protein binding	GO:0006875;GO:0016570;GO:0006355	cellular metal ion homeostasis;histone modification;regulation of transcription, DNA-templated
NCU00096	NCU00096-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00097	NCU00097-t26_1	Neurospora crassa OR74A	BEAK-1	bek-1	N/A	N/A	N/A	N/A	GO:0071998;GO:0009416;GO:0000909	ascospore release from ascus;response to light stimulus;sporocarp development involved in sexual reproduction	GO:0005634	nucleus	GO:0003677	DNA binding	GO:0006355	regulation of transcription, DNA-templated
NCU00099	NCU00099-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00100	NCU00100-t26_1	Neurospora crassa OR74A	hypothetical protein	sah-13	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005634	nucleus	GO:0003677	DNA binding	N/A	N/A
NCU00101	NCU00101-t26_1	Neurospora crassa OR74A	pbn-1	pbn1	GO:1990529	glycosylphosphatidylinositol-mannosyltransferase I complex	N/A	N/A	GO:0006506;GO:0016485;GO:0030433	GPI anchor biosynthetic process;protein processing;ubiquitin-dependent ERAD pathway	GO:0005789;GO:0016021	endoplasmic reticulum membrane;integral component of membrane	GO:0000030	mannosyltransferase activity	GO:0006506	GPI anchor biosynthetic process
NCU00102	NCU00102-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0005829	cytosol	GO:0004084	branched-chain-amino-acid transaminase activity	GO:0009082	branched-chain amino acid biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A
NCU00103	NCU00103-t26_1	Neurospora crassa OR74A	hypothetical protein	mrp-61	GO:0009514;GO:0005762;GO:0005761;GO:0005634	glyoxysome;mitochondrial large ribosomal subunit;mitochondrial ribosome;nucleus	GO:0000150;GO:0003697;GO:0003735	DNA strand exchange activity;single-stranded DNA binding;structural constituent of ribosome	GO:0006310;GO:0090297;GO:0006355;GO:0006412	DNA recombination;positive regulation of mitochondrial DNA replication;regulation of transcription, DNA-templated;translation	N/A	N/A	N/A	N/A	N/A	N/A
NCU00104	NCU00104-t26_1	Neurospora crassa OR74A	hsp98-like protein	hsp98	GO:0005737;GO:0005634;GO:0005792	cytoplasm;nucleus;obsolete microsome	GO:0016887;GO:0051087;GO:0051082	ATP hydrolysis activity;chaperone binding;unfolded protein binding	GO:0051085;GO:0042026;GO:0009408;GO:0006950	chaperone cofactor-dependent protein refolding;protein refolding;response to heat;response to stress	GO:0005737;GO:0005634;GO:0140453	cytoplasm;nucleus;protein aggregate center	GO:0005524;GO:0016887;GO:0051787	ATP binding;ATP hydrolysis activity;misfolded protein binding	GO:0070370;GO:0071218;GO:0030163;GO:0042026;GO:0043335;GO:0009408	cellular heat acclimation;cellular response to misfolded protein;protein catabolic process;protein refolding;protein unfolding;response to heat
NCU00105	NCU00105-t26_1	Neurospora crassa OR74A	ribosome biogenesis-58	rbg-58	GO:0022625;GO:0005730;GO:0030687	cytosolic large ribosomal subunit;nucleolus;preribosome, large subunit precursor	N/A	N/A	GO:0034599;GO:0006364;GO:0042273	cellular response to oxidative stress;rRNA processing;ribosomal large subunit biogenesis	GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0003723	RNA binding	GO:1902626;GO:0000463;GO:0042255;GO:0042254	assembly of large subunit precursor of preribosome;maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);ribosome assembly;ribosome biogenesis
NCU00106	NCU00106-t26_1	Neurospora crassa OR74A	glutamate 5-kinase	pro-4	GO:0005737;GO:0005829	cytoplasm;cytosol	GO:0004349	glutamate 5-kinase activity	GO:0006561	proline biosynthetic process	GO:0005737	cytoplasm	GO:0005524;GO:0003723;GO:0004349	ATP binding;RNA binding;glutamate 5-kinase activity	GO:0006561	proline biosynthetic process
NCU00107	NCU00107-t26_1	Neurospora crassa OR74A	mitochondrial inner membrane protease-1	mipr-1	GO:0031314	extrinsic component of mitochondrial inner membrane	N/A	N/A	GO:0034982;GO:0033615	mitochondrial protein processing;mitochondrial proton-transporting ATP synthase complex assembly	N/A	N/A	GO:0046872;GO:0004222	metal ion binding;metalloendopeptidase activity	N/A	N/A
NCU00108	NCU00108-t26_1	Neurospora crassa OR74A	serine/threonine-protein kinase	stk-13	GO:0032133;GO:0000780;GO:0005876;GO:0051233	chromosome passenger complex;condensed nuclear chromosome, centromeric region;spindle microtubule;spindle midzone	GO:0035174	histone serine kinase activity	GO:0007052;GO:0032465	mitotic spindle organization;regulation of cytokinesis	N/A	N/A	GO:0005524;GO:0004672	ATP binding;protein kinase activity	GO:0006468	protein phosphorylation
NCU00109	NCU00109-t26_1	Neurospora crassa OR74A	TipA protein, variant 1, TipA protein	N/A	GO:0005829	cytosol	N/A	N/A	GO:0031929;GO:0043666;GO:0007165	TOR signaling;regulation of phosphoprotein phosphatase activity;signal transduction	N/A	N/A	N/A	N/A	GO:0043666	regulation of phosphoprotein phosphatase activity
NCU00109	NCU00109-t26_2	Neurospora crassa OR74A	TipA protein, variant 1, TipA protein	N/A	GO:0005829	cytosol	N/A	N/A	GO:0031929;GO:0043666;GO:0007165	TOR signaling;regulation of phosphoprotein phosphatase activity;signal transduction	N/A	N/A	N/A	N/A	GO:0043666	regulation of phosphoprotein phosphatase activity
NCU00110	NCU00110-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00111	NCU00111-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0031307	integral component of mitochondrial outer membrane	N/A	N/A	GO:0000422;GO:0009416	autophagy of mitochondrion;response to light stimulus	N/A	N/A	N/A	N/A	N/A	N/A
NCU00112	NCU00112-t26_1	Neurospora crassa OR74A	prolyl-aminopeptidase-1	pap-1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016787;GO:0046872;GO:0070006	hydrolase activity;metal ion binding;metalloaminopeptidase activity	N/A	N/A
NCU00114	NCU00114-t26_1	Neurospora crassa OR74A	30S ribosomal protein S10	mrp-10	GO:0005761;GO:0005739;GO:0015935	mitochondrial ribosome;mitochondrion;small ribosomal subunit	GO:0003735	structural constituent of ribosome	N/A	N/A	GO:0005840	ribosome	GO:0003735	structural constituent of ribosome	GO:0006412	translation
NCU00115	NCU00115-t26_1	Neurospora crassa OR74A	rRNA-processing protein FCF2	rrm-4	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005634	nucleus	N/A	N/A	N/A	N/A
NCU00116	NCU00116-t26_1	Neurospora crassa OR74A	CCAAT-binding transcription factor subunit AAB-1, variant 1, CCAAT-binding transcription factor subunit AAB-1, variant 2, CCAAT-binding transcription factor subunit AAB-1	aab-1	GO:0016602;GO:0005634	CCAAT-binding factor complex;nucleus	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	GO:0006355	regulation of transcription, DNA-templated	GO:0005634	nucleus	GO:0003677;GO:0046982	DNA binding;protein heterodimerization activity	GO:0006355	regulation of transcription, DNA-templated
NCU00116	NCU00116-t26_2	Neurospora crassa OR74A	CCAAT-binding transcription factor subunit AAB-1, variant 1, CCAAT-binding transcription factor subunit AAB-1, variant 2, CCAAT-binding transcription factor subunit AAB-1	aab-1	GO:0016602;GO:0005634	CCAAT-binding factor complex;nucleus	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	GO:0006355	regulation of transcription, DNA-templated	N/A	N/A	GO:0046982	protein heterodimerization activity	N/A	N/A
NCU00116	NCU00116-t26_3	Neurospora crassa OR74A	CCAAT-binding transcription factor subunit AAB-1, variant 1, CCAAT-binding transcription factor subunit AAB-1, variant 2, CCAAT-binding transcription factor subunit AAB-1	aab-1	GO:0016602;GO:0005634	CCAAT-binding factor complex;nucleus	GO:0003677;GO:0003700;GO:0000978;GO:0030528;GO:0043565	DNA binding;DNA-binding transcription factor activity;RNA polymerase II cis-regulatory region sequence-specific DNA binding;obsolete transcription regulator activity;sequence-specific DNA binding	GO:0034599;GO:0006109;GO:0033217;GO:0006355	cellular response to oxidative stress;regulation of carbohydrate metabolic process;regulation of transcription from RNA polymerase II promoter in response to iron ion starvation;regulation of transcription, DNA-templated	N/A	N/A	GO:0046982	protein heterodimerization activity	N/A	N/A
NCU00117	NCU00117-t26_1	Neurospora crassa OR74A	exocyst complex component Sec15	sec15	GO:0000145;GO:0016020	exocyst;membrane	N/A	N/A	GO:0006893;GO:0043577;GO:0048315;GO:0006887;GO:0040009;GO:0009847;GO:0000768	Golgi to plasma membrane transport;chemotropism;conidium formation;exocytosis;regulation of growth rate;spore germination;syncytium formation by plasma membrane fusion	GO:0000145	exocyst	N/A	N/A	GO:0046903;GO:0006904;GO:0016192	secretion;vesicle docking involved in exocytosis;vesicle-mediated transport
NCU00118	NCU00118-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:1990904	ribonucleoprotein complex	GO:0003723	RNA binding	N/A	N/A	N/A	N/A	GO:0003676	nucleic acid binding	GO:0051321	meiotic cell cycle
NCU00119	NCU00119-t26_1	Neurospora crassa OR74A	Sad1/UNC domain-containing protein	N/A	GO:0005737;GO:0016020	cytoplasm;membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00120	NCU00120-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005634	nucleus	GO:0005515	protein binding	N/A	N/A
NCU00121	NCU00121-t26_1	Neurospora crassa OR74A	chloride channel-1	clc-1	GO:0005794;GO:0005769;GO:0005768;GO:0005887;GO:0005886	Golgi apparatus;early endosome;endosome;integral component of plasma membrane;plasma membrane	GO:0031404;GO:0015299;GO:0005247	chloride ion binding;solute:proton antiporter activity;voltage-gated chloride channel activity	N/A	N/A	GO:0016020	membrane	GO:0005247	voltage-gated chloride channel activity	GO:0006821;GO:0055085	chloride transport;transmembrane transport
NCU00122	NCU00122-t26_1	Neurospora crassa OR74A	aspartyl protease-16	apr-16	GO:0005737;GO:0000324;GO:0005840	cytoplasm;fungal-type vacuole;ribosome	GO:0004177;GO:0070006	aminopeptidase activity;metalloaminopeptidase activity	N/A	N/A	GO:0005737	cytoplasm	GO:0004177;GO:0008270	aminopeptidase activity;zinc ion binding	GO:0030163;GO:0006508	protein catabolic process;proteolysis
NCU00123	NCU00123-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00124	NCU00124-t26_1	Neurospora crassa OR74A	hypothetical protein, hypothetical protein, variant 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005634	nucleus	GO:0003713	transcription coactivator activity	N/A	N/A
NCU00124	NCU00124-t26_2	Neurospora crassa OR74A	hypothetical protein, hypothetical protein, variant 1	N/A	GO:0035097;GO:0005667	histone methyltransferase complex;transcription regulator complex	GO:0030374	nuclear receptor coactivator activity	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0005634	nucleus	GO:0003713	transcription coactivator activity	N/A	N/A
NCU00125	NCU00125-t26_1	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737;GO:0005634	cytoplasm;nucleus	N/A	N/A	N/A	N/A
NCU00125	NCU00125-t26_2	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737;GO:0005634	cytoplasm;nucleus	N/A	N/A	N/A	N/A
NCU00126	NCU00126-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0031211;GO:0042406;GO:0002178	endoplasmic reticulum palmitoyltransferase complex;extrinsic component of endoplasmic reticulum membrane;palmitoyltransferase complex	N/A	N/A	GO:0018230;GO:0006612	peptidyl-L-cysteine S-palmitoylation;protein targeting to membrane	N/A	N/A	N/A	N/A	N/A	N/A
NCU00127	NCU00127-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU00128	NCU00128-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU00129	NCU00129-t26_1	Neurospora crassa OR74A	AMP-binding domain-containing protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0003824	catalytic activity	GO:0006629	lipid metabolic process
NCU00130	NCU00130-t26_1	Neurospora crassa OR74A	Beta-glucosidase, beta-glucosidase, variant 1	gh1-1	N/A	N/A	GO:0008422	beta-glucosidase activity	GO:0006115	ethanol biosynthetic process	N/A	N/A	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0005975;GO:0009313;GO:0000272	carbohydrate metabolic process;oligosaccharide catabolic process;polysaccharide catabolic process
NCU00130	NCU00130-t26_2	Neurospora crassa OR74A	Beta-glucosidase, beta-glucosidase, variant 1	gh1-1	N/A	N/A	GO:0008422	beta-glucosidase activity	N/A	N/A	N/A	N/A	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0005975	carbohydrate metabolic process
NCU00132	NCU00132-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0034599;GO:0009416	cellular response to oxidative stress;response to light stimulus	N/A	N/A	N/A	N/A	N/A	N/A
NCU00133	NCU00133-t26_1	Neurospora crassa OR74A	FACT complex subunit pob-3	ctc-1	GO:0035101;GO:0005829;GO:0000790;GO:0005634	FACT complex;cytosol;nuclear chromatin;nucleus	GO:0042393;GO:0031491;GO:0005515	histone binding;nucleosome binding;protein binding	GO:0006281;GO:0006261;GO:0034599;GO:0007059;GO:0031508;GO:0006351	DNA repair;DNA-dependent DNA replication;cellular response to oxidative stress;chromosome segregation;pericentric heterochromatin assembly;transcription, DNA-templated	GO:0005634;GO:0031298	nucleus;replication fork protection complex	GO:0003677;GO:0005515	DNA binding;protein binding	GO:0006281;GO:0006260;GO:0034724;GO:0006265;GO:0006261;GO:0045899	DNA repair;DNA replication;DNA replication-independent chromatin organization;DNA topological change;DNA-dependent DNA replication;positive regulation of RNA polymerase II transcription preinitiation complex assembly
